Code Classe;Code Groupe;Code Division;Code Sous-section;Code Section;Section;Sous-section;Division;Groupe;Classe
00.00Z;00.00;00;00;Z;En attente de chiffrement sans activité;En attente de chiffrement sans activité;En attente de chiffrement sans activité;En attente de chiffrement sans activité;En attente de chiffrement sans activité
01.11Z;01.11;01.1;01;A;Agriculture, sylviculture et pêche;Culture et production animale, chasse et services annexes;Cultures non permanentes;Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses;Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses
01.12Z;01.12;01.1;01;A;Agriculture, sylviculture et pêche;Culture et production animale, chasse et services annexes;Cultures non permanentes;Culture du riz;Culture du riz
01.13Z;01.13;01.1;01;A;Agriculture, sylviculture et pêche;Culture et production animale, chasse et services annexes;Cultures non permanentes;Culture de légumes, de melons, de racines et de tubercules;Culture de légumes, de melons, de racines et de tubercules
01.14Z;01.14;01.1;01;A;Agriculture, sylviculture et pêche;Culture et production animale, chasse et services annexes;Cultures non permanentes;Culture de la canne à sucre;Culture de la canne à sucre
01.15Z;01.15;01.1;01;A;Agriculture, sylviculture et pêche;Culture et production animale, chasse et services annexes;Cultures non permanentes;Culture du tabac;Culture du tabac
01.16Z;01.16;01.1;01;A;Agriculture, sylviculture et pêche;Culture et production animale, chasse et services annexes;Cultures non permanentes;Culture de plantes à fibres;Culture de plantes à fibres
01.19Z;01.19;01.1;01;A;Agriculture, sylviculture et pêche;Culture et production animale, chasse et services annexes;Cultures non permanentes;Autres cultures non permanentes;Autres cultures non permanentes
01.21Z;01.21;01.2;01;A;Agriculture, sylviculture et pêche;Culture et production animale, chasse et services annexes;Cultures permanentes;Culture de la vigne;Culture de la vigne
01.22Z;01.22;01.2;01;A;Agriculture, sylviculture et pêche;Culture et production animale, chasse et services annexes;Cultures permanentes;Culture de fruits tropicaux et subtropicaux;Culture de fruits tropicaux et subtropicaux
01.23Z;01.23;01.2;01;A;Agriculture, sylviculture et pêche;Culture et production animale, chasse et services annexes;Cultures permanentes;Culture d'agrumes;Culture d'agrumes
01.24Z;01.24;01.2;01;A;Agriculture, sylviculture et pêche;Culture et production animale, chasse et services annexes;Cultures permanentes;Culture de fruits à pépins et à noyau;Culture de fruits à pépins et à noyau
01.25Z;01.25;01.2;01;A;Agriculture, sylviculture et pêche;Culture et production animale, chasse et services annexes;Cultures permanentes;Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque;Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque
01.26Z;01.26;01.2;01;A;Agriculture, sylviculture et pêche;Culture et production animale, chasse et services annexes;Cultures permanentes;Culture de fruits oléagineux;Culture de fruits oléagineux
01.27Z;01.27;01.2;01;A;Agriculture, sylviculture et pêche;Culture et production animale, chasse et services annexes;Cultures permanentes;Culture de plantes à boissons;Culture de plantes à boissons
01.28Z;01.28;01.2;01;A;Agriculture, sylviculture et pêche;Culture et production animale, chasse et services annexes;Cultures permanentes;Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques;Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques
01.29Z;01.29;01.2;01;A;Agriculture, sylviculture et pêche;Culture et production animale, chasse et services annexes;Cultures permanentes;Autres cultures permanentes;Autres cultures permanentes
01.30Z;01.30;01.3;01;A;Agriculture, sylviculture et pêche;Culture et production animale, chasse et services annexes;Reproduction de plantes;Reproduction de plantes;Reproduction de plantes
01.41Z;01.41;01.4;01;A;Agriculture, sylviculture et pêche;Culture et production animale, chasse et services annexes;Production animale;Élevage de vaches laitières;Élevage de vaches laitières
01.42Z;01.42;01.4;01;A;Agriculture, sylviculture et pêche;Culture et production animale, chasse et services annexes;Production animale;Élevage d'autres bovins et de buffles;Élevage d'autres bovins et de buffles
01.43Z;01.43;01.4;01;A;Agriculture, sylviculture et pêche;Culture et production animale, chasse et services annexes;Production animale;Élevage de chevaux et d'autres équidés;Élevage de chevaux et d'autres équidés
01.44Z;01.44;01.4;01;A;Agriculture, sylviculture et pêche;Culture et production animale, chasse et services annexes;Production animale;Élevage de chameaux et d'autres camélidés;Élevage de chameaux et d'autres camélidés
01.45Z;01.45;01.4;01;A;Agriculture, sylviculture et pêche;Culture et production animale, chasse et services annexes;Production animale;Élevage d'ovins et de caprins;Élevage d'ovins et de caprins
01.46Z;01.46;01.4;01;A;Agriculture, sylviculture et pêche;Culture et production animale, chasse et services annexes;Production animale;Élevage de porcins;Élevage de porcins
01.47Z;01.47;01.4;01;A;Agriculture, sylviculture et pêche;Culture et production animale, chasse et services annexes;Production animale;Élevage de volailles;Élevage de volailles
01.49Z;01.49;01.4;01;A;Agriculture, sylviculture et pêche;Culture et production animale, chasse et services annexes;Production animale;Élevage d'autres animaux;Élevage d'autres animaux
01.50Z;01.50;01.5;01;A;Agriculture, sylviculture et pêche;Culture et production animale, chasse et services annexes;Culture et élevage associés;Culture et élevage associés;Culture et élevage associés
01.61Z;01.61;01.6;01;A;Agriculture, sylviculture et pêche;Culture et production animale, chasse et services annexes;Activités de soutien à l'agriculture et traitement primaire des récoltes;Activités de soutien aux cultures;Activités de soutien aux cultures
01.62Z;01.62;01.6;01;A;Agriculture, sylviculture et pêche;Culture et production animale, chasse et services annexes;Activités de soutien à l'agriculture et traitement primaire des récoltes;Activités de soutien à la production animale;Activités de soutien à la production animale
01.63Z;01.63;01.6;01;A;Agriculture, sylviculture et pêche;Culture et production animale, chasse et services annexes;Activités de soutien à l'agriculture et traitement primaire des récoltes;Traitement primaire des récoltes;Traitement primaire des récoltes
01.64Z;01.64;01.6;01;A;Agriculture, sylviculture et pêche;Culture et production animale, chasse et services annexes;Activités de soutien à l'agriculture et traitement primaire des récoltes;Traitement des semences;Traitement des semences
01.70Z;01.70;01.7;01;A;Agriculture, sylviculture et pêche;Culture et production animale, chasse et services annexes;Chasse, piégeage et services annexes;Chasse, piégeage et services annexes;Chasse, piégeage et services annexes
02.10Z;02.10;02.1;02;A;Agriculture, sylviculture et pêche;Sylviculture et exploitation forestière;Sylviculture et autres activités forestières;Sylviculture et autres activités forestières;Sylviculture et autres activités forestières
02.20Z;02.20;02.2;02;A;Agriculture, sylviculture et pêche;Sylviculture et exploitation forestière;Exploitation forestière;Exploitation forestière;Exploitation forestière
