"NACE Rev.2.1";"NAF 2025 sous-classes";Intitulés
A;;AGRICULTURE, SYLVICULTURE ET PÊCHE
01;;Culture et production animale, chasse et services annexes
01.1;;Cultures non permanentes
01.11;01.11Y;Culture de céréales, à l’exception du riz, de légumineuses et de graines oléagineuses
01.12;01.12Y;Culture du riz
01.13;01.13Y;Culture de légumes, de melons, de racines et de tubercules
01.14;01.14Y;Culture de la canne à sucre
01.15;01.15Y;Culture du tabac
01.16;01.16Y;Culture de plantes à fibres
01.19;01.19Y;Autres cultures non permanentes
01.2;;Cultures permanentes
01.21;01.21Y;Culture de la vigne
01.22;01.22Y;Culture de fruits tropicaux et subtropicaux
01.23;01.23Y;Culture d’agrumes
01.24;01.24Y;Culture de fruits à pépins et à noyau
01.25;01.25Y;Culture d’autres fruits d’arbres ou d’arbustes et de fruits à coque
01.26;01.26Y;Culture de fruits oléagineux
01.27;01.27Y;Culture de plantes à boissons
01.28;01.28Y;Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques
01.29;01.29Y;Autres cultures permanentes
01.3;;Reproduction de plantes
01.30;01.30Y;Reproduction de plantes
01.4;;Production animale
01.41;01.41Y;Élevage de vaches laitières
01.42;01.42Y;Élevage d’autres bovins et de buffles
01.43;01.43Y;Élevage de chevaux et d’autres équidés
01.44;01.44Y;Élevage de chameaux et d’autres camélidés
01.45;01.45Y;Élevage d’ovins et de caprins
01.46;01.46Y;Élevage de porcins
01.47;01.47Y;Élevage de volailles
01.48;;Élevage d’autres animaux
;01.48G;Apiculture
;01.48H;Élevage d'autres animaux destinés à la consommation
;01.48J;Élevage d'animaux de compagnie et d'autres animaux n.c.a.
01.5;;Culture et élevage associés
01.50;01.50Y;Culture et élevage associés
01.6;;Activités de soutien à l’agriculture et traitement primaire des récoltes
01.61;01.61Y;Activités de soutien aux cultures
01.62;01.62Y;Activités de soutien à la production animale
01.63;01.63Y;Traitement primaire des récoltes et traitement des semences
01.7;;Chasse, piégeage et activités de service connexes
01.70;01.70Y;Chasse, piégeage et activités de service connexes
02;;Sylviculture et exploitation forestière
02.1;;Sylviculture et autres activités forestières
02.10;02.10Y;Sylviculture et autres activités forestières
02.2;;Exploitation forestière
02.20;02.20Y;Exploitation forestière
02.3;;Récolte de produits forestiers non ligneux poussant à l’état sauvage
02.30;02.30Y;Récolte de produits forestiers non ligneux poussant à l’état sauvage
02.4;;Activités de soutien à l’exploitation forestière
02.40;02.40Y;Activités de soutien à l’exploitation forestière
03;;Pêche et aquaculture
03.1;;Pêche
03.11;03.11Y;Pêche en mer
03.12;03.12Y;Pêche en eau douce
03.2;;Aquaculture
03.21;03.21Y;Aquaculture en mer
03.22;03.22Y;Aquaculture en eau douce
03.3;;Activités de soutien à la pêche et l’aquaculture
03.30;03.30Y;Activités de soutien à la pêche et l’aquaculture
B;;INDUSTRIES EXTRACTIVES
05;;Extraction de houille et de lignite
05.1;;Extraction de houille
05.10;05.10Y;Extraction de houille
05.2;;Extraction de lignite
05.20;05.20Y;Extraction de lignite
06;;Extraction d’hydrocarbures
06.1;;Extraction de pétrole brut
06.10;06.10Y;Extraction de pétrole brut
06.2;;Extraction de gaz naturel
06.20;06.20Y;Extraction de gaz naturel
07;;Extraction de minerais métalliques
07.1;;Extraction de minerais de fer
07.10;07.10Y;Extraction de minerais de fer
07.2;;Extraction de minerais de métaux non ferreux
07.21;07.21Y;Extraction de minerais d’uranium et de thorium
07.29;07.29Y;Extraction d’autres minerais de métaux non ferreux
08;;Autres industries extractives
08.1;;Extraction de pierres, de sables et d’argiles
08.11;08.11Y;Extraction de pierres ornementales, de calcaire industriel, de gypse, d’ardoise et d’autres pierres
08.12;08.12Y;Exploitation de gravières et sablières, extraction d’argiles et de kaolin
08.9;;Activités extractives n.c.a.
08.91;08.91Y;Extraction de minéraux chimiques et d’engrais minéraux
08.92;08.92Y;Extraction de tourbe
08.93;08.93Y;Production de sel
08.99;08.99Y;Autres activités extractives n.c.a.
09;;Activités de soutien aux industries extractives
09.1;;Activités de soutien à l’extraction d’hydrocarbures
09.10;09.10Y;Activités de soutien à l’extraction d’hydrocarbures
09.9;;Activités de soutien aux autres industries extractives
09.90;09.90Y;Activités de soutien aux autres industries extractives
C;;INDUSTRIE MANUFACTURIÈRE
10;;Industries alimentaires
10.1;;Transformation et conservation de la viande et préparation de produits à base de viande
10.11;10.11Y;Transformation et conservation de la viande, à l’exception de la viande de volaille
10.12;10.12Y;Transformation et conservation de la viande de volaille
10.13;;Préparation de produits à base de viande et viande de volaille
;10.13G;Préparation industrielle de produits à base de viande
;10.13H;Préparation de produits à base de viande associée à leur vente au détail
10.2;;Transformation et conservation de poisson, de crustacés et de mollusques
10.20;10.20Y;Transformation et conservation de poisson, de crustacés et de mollusques
10.3;;Transformation et conservation de fruits et légumes
10.31;10.31Y;Transformation et conservation de pommes de terre
10.32;10.32Y;Préparation de jus de fruits et légumes
10.39;;Autre transformation et conservation de fruits et légumes
;10.39G;Autre transformation et conservation de légumes
;10.39H;Autre transformation et conservation de fruits
10.4;;Fabrication d’huiles et graisses végétales et animales
10.41;10.41Y;Fabrication d’huiles et graisses
10.42;10.42Y;Fabrication de margarine et graisses comestibles similaires
10.5;;Fabrication de produits laitiers et de glace alimentaire
10.51;;Fabrication de produits laitiers
;10.51G;Fabrication de lait liquide, crèmes de lait et laits fermentés
;10.51H;Fabrication de fromage
;10.51J;Fabrication de beurre et d'autres produits laitiers
10.52;10.52Y;Fabrication de crèmes glacées et autres glaces alimentaires
10.6;;"Travail des grains ; fabrication de produits amylacés"
10.61;;Travail des grains
;10.61G;Meunerie
;10.61H;Autres activités du travail des grains
10.62;10.62Y;Fabrication de produits amylacés
10.7;;Fabrication de produits de boulangerie-pâtisserie et de pâtes alimentaires
10.71;;"Fabrication de pain ; fabrication de pâtisserie fraîche"
;10.71G;Fabrication industrielle de pain et de pâtisserie fraîche
;10.71H;Fabrication de pain et d'autres produits de boulangerie-pâtisserie associée à leur vente au détail
;10.71J;Fabrication de pâtisserie fraîche associée à sa vente au détail
10.72;10.72Y;Fabrication de biscuits, biscottes et pâtisseries de conservation
10.73;10.73Y;Fabrication de pâtes alimentaires
10.8;;Fabrication d’autres produits alimentaires
10.81;10.81Y;Fabrication de sucre
10.82;10.82Y;Fabrication de cacao, de chocolat et de produits de confiserie
10.83;10.83Y;Transformation du thé et du café
10.84;10.84Y;Fabrication de condiments et assaisonnements
10.85;10.85Y;Fabrication de plats préparés
10.86;10.86Y;Fabrication d’aliments homogénéisés et diététiques
10.89;10.89Y;Fabrication d’autres produits alimentaires n.c.a.
10.9;;Fabrication d’aliments pour animaux
10.91;10.91Y;Fabrication d’aliments pour animaux de ferme
10.92;10.92Y;Fabrication d’aliments pour animaux de compagnie
11;;Fabrication de boissons
11.0;;Fabrication de boissons
11.01;11.01Y;Production de boissons alcoolisées distillées
11.02;;Production de vin (de raisin)
;11.02G;Fabrication de vins effervescents
;11.02H;Fabrication de vins non effervescents
11.03;11.03Y;Fabrication de cidre et autres boissons fermentées à base de fruits
11.04;11.04Y;Production d’autres boissons fermentées non distillées
11.05;11.05Y;Fabrication de bière
11.06;11.06Y;Fabrication de malt
11.07;;Fabrication de boissons non alcoolisées et d’eaux embouteillées
;11.07G;Industrie des eaux de table
;11.07H;Production d'autres boissons non alcoolisées
12;;Fabrication de produits à base de tabac
12.0;;Fabrication de produits à base de tabac
12.00;12.00Y;Fabrication de produits à base de tabac
13;;Fabrication de textiles
13.1;;Préparation de fibres textiles et filature
13.10;13.10Y;Préparation de fibres textiles et filature
13.2;;Tissage
13.20;13.20Y;Tissage
13.3;;Ennoblissement textile
13.30;13.30Y;Ennoblissement textile
13.9;;Fabrication d’autres textiles
13.91;13.91Y;Fabrication d’étoffes à mailles
13.92;13.92Y;Fabrication de textiles ménagers et d’articles d’ameublement confectionnés
13.93;13.93Y;Fabrication de tapis et moquettes
13.94;13.94Y;Fabrication de ficelles, cordes et filets
13.95;13.95Y;Fabrication de textiles non-tissés et articles non-tissés
13.96;13.96Y;Fabrication d’autres textiles techniques et industriels
13.99;13.99Y;Fabrication d’autres textiles n.c.a.
14;;Industrie de l’habillement
14.1;;Fabrication d’articles à mailles
14.10;14.10Y;Fabrication d’articles à mailles
14.2;;Fabrication d’autres articles d’habillement et accessoires
14.21;14.21Y;Fabrication de vêtements de dessus
14.22;14.22Y;Fabrication de vêtements de dessous
14.23;14.23Y;Fabrication de vêtements de travail
14.24;14.24Y;Fabrication de vêtements en cuir et en fourrure
14.29;14.29Y;Fabrication d’autres articles d’habillement et accessoires n.c.a.
15;;Fabrication de cuir, d’articles en cuir et de produits similaires dans d’autres matières
15.1;;"Tannage, apprêt et teinture des cuirs et des fourrures ; fabrication de bagages, de maroquinerie, sellerie et bourrellerie"
15.11;15.11Y;Tannage, apprêt et teinture des cuirs et des fourrures
15.12;15.12Y;Fabrication de bagages, de maroquinerie, sellerie et bourrellerie, en toutes matières
15.2;;Fabrication de chaussures
15.20;15.20Y;Fabrication de chaussures
16;;"Travail du bois et fabrication d’articles en bois et en liège, à l’exception des meubles ; fabrication d’articles en vannerie et sparterie"
16.1;;"Sciage et rabotage du bois ; façonnage et finition du bois"
16.11;16.11Y;Sciage et rabotage du bois
16.12;16.12Y;Façonnage et finition du bois
16.2;;Fabrication d’articles en bois, liège, vannerie et sparterie
16.21;16.21Y;Fabrication de placage et de panneaux de bois
16.22;16.22Y;Fabrication de parquets assemblés
16.23;16.23Y;Fabrication de charpentes et d’autres menuiseries
16.24;16.24Y;Fabrication d’emballages en bois
16.25;16.25Y;Fabrication de portes et fenêtres en bois
16.26;16.26Y;Fabrication de combustibles solides à partir de biomasse végétale
16.27;16.27Y;Finition de produits en bois
16.28;16.28Y;Fabrication d’objets divers en bois, d’objets en liège, vannerie et sparterie
17;;Industrie du papier et du carton
17.1;;Fabrication de pâte à papier, de papier et de carton
17.11;17.11Y;Fabrication de pâte à papier
17.12;17.12Y;Fabrication de papier et de carton
17.2;;Fabrication d’articles en papier ou en carton
17.21;17.21Y;Fabrication de papier et carton ondulés et d’emballages en papier ou en carton
17.22;17.22Y;Fabrication d’articles en papier à usage sanitaire ou domestique
17.23;17.23Y;Fabrication d’articles de papeterie
17.24;17.24Y;Fabrication de papiers peints
17.25;17.25Y;Fabrication d’autres articles en papier ou en carton
18;;Imprimerie et reproduction d’enregistrements
18.1;;Imprimerie et services annexes
18.11;18.11Y;Imprimerie de journaux
18.12;18.12Y;Autres activités d’imprimerie
18.13;18.13Y;Activités de pré-presse
18.14;18.14Y;Reliure et activités connexes
18.2;;Reproduction d’enregistrements
18.20;18.20Y;Reproduction d’enregistrements
19;;Cokéfaction et raffinage
19.1;;Cokéfaction
19.10;19.10Y;Cokéfaction
19.2;;Raffinage du pétrole et fabrication de produits à base de combustibles fossiles
19.20;19.20Y;Raffinage du pétrole et fabrication de produits à base de combustibles fossiles
20;;Industrie chimique
20.1;;Fabrication de produits chimiques de base, de produits azotés et d’engrais, de matières plastiques de base et de caoutchouc synthétique
20.11;20.11Y;Fabrication de gaz industriels
20.12;20.12Y;Fabrication de colorants et de pigments
20.13;20.13Y;Fabrication d’autres produits chimiques inorganiques de base
20.14;20.14Y;Fabrication d’autres produits chimiques organiques de base
20.15;20.15Y;Fabrication de produits azotés et d’engrais
20.16;20.16Y;Fabrication de matières plastiques de base
20.17;20.17Y;Fabrication de caoutchouc synthétique
20.2;;Fabrication de pesticides, de désinfectants et d’autres produits agrochimiques
20.20;20.20Y;Fabrication de pesticides, de désinfectants et d’autres produits agrochimiques
20.3;;Fabrication de peintures, vernis, encres et mastics
20.30;20.30Y;Fabrication de peintures, vernis, encres et mastics
20.4;;Fabrication de savons et de produits d’entretien
20.41;20.41Y;Fabrication de savons, détergents et produits d’entretien
